file:  ./traces/P12.lis, capacity:   2048, algo: lru, requests: 13208930, hits:   638154, ratio:  4.83
file:  ./traces/P12.lis, capacity:   2048, algo: arc, requests: 13208930, hits:   644660, ratio:  4.88
file:  ./traces/P12.lis, capacity:   4096, algo: lru, requests: 13208930, hits:   741237, ratio:  5.61
file:  ./traces/P12.lis, capacity:   4096, algo: arc, requests: 13208930, hits:   760277, ratio:  5.76
file:  ./traces/P12.lis, capacity:   8192, algo: lru, requests: 13208930, hits:   821758, ratio:  6.22
file:  ./traces/P12.lis, capacity:   8192, algo: arc, requests: 13208930, hits:   943907, ratio:  7.15
file:  ./traces/P12.lis, capacity:  16384, algo: lru, requests: 13208930, hits:   936757, ratio:  7.09
file:  ./traces/P12.lis, capacity:  16384, algo: arc, requests: 13208930, hits:  1334993, ratio: 10.11
file:  ./traces/P12.lis, capacity:  32768, algo: lru, requests: 13208930, hits:  1179069, ratio:  8.93
file:  ./traces/P12.lis, capacity:  32768, algo: arc, requests: 13208930, hits:  2104636, ratio: 15.93
file:  ./traces/P12.lis, capacity:  65536, algo: lru, requests: 13208930, hits:  1906176, ratio: 14.43
file:  ./traces/P12.lis, capacity:  65536, algo: arc, requests: 13208930, hits:  3446535, ratio: 26.09
file:  ./traces/P12.lis, capacity: 131072, algo: lru, requests: 13208930, hits:  3859015, ratio: 29.22
file:  ./traces/P12.lis, capacity: 131072, algo: arc, requests: 13208930, hits:  5108453, ratio: 38.67
file:  ./traces/P12.lis, capacity: 262144, algo: lru, requests: 13208930, hits:  6487504, ratio: 49.11
file:  ./traces/P12.lis, capacity: 262144, algo: arc, requests: 13208930, hits:  7062365, ratio: 53.47
file:  ./traces/P12.lis, capacity: 524288, algo: lru, requests: 13208930, hits:  8046177, ratio: 60.91
file:  ./traces/P12.lis, capacity: 524288, algo: arc, requests: 13208930, hits:  8396011, ratio: 63.56
